,title,date,stock
43,"Shares of several real estate companies are trading lower following an increase in coronavirus cases in some US states that have reopened, leading to concerns of a second wave of the virus. The Fed also kept rates at zero and noted it could stay there for as long as it takes for the economy to recover.",2020-06-11 10:08:00-04:00,GEO
44,"Shares of several financial service companies are trading lower following an increase in coronavirus cases in some US states that have reopened, leading to concerns of a second wave of the virus. The Fed kept rates at zero and noted it could stay there for as long as it takes for the economy to recover.",2020-06-11 10:05:00-04:00,FNB
45,"Shares of several basic materials companies are trading lower following an increase in coronavirus cases in some US states that have reopened, leading to concerns of a second wave of the virus.",2020-06-11 10:04:00-04:00,GGB
46,"Shares of several airline companies are trading lower following weak guidance from Delta as well as concerns over a second wave of the coronavirus, which would further hamper travel demand.",2020-06-11 10:02:00-04:00,GOL
47,"Shares of several travel and cruise companies are trading lower amid concerns of a second wave of the coronavirus, which has clouded the outlook for travel demand.",2020-06-11 09:59:00-04:00,RCL
48,EU Commission Seeking Mandate From EU Gov'ts. For Advance Purchase Of Up To 6 Promising Coronavirus Vaccines,2020-06-11 09:58:00-04:00,VGK
49,The Shift To Free Trading Provided A Valuable Lesson In Disruption,2020-06-11 09:58:00-04:00,SCHW
50,"Shares of several energy companies are trading lower as oil prices dip. Concerns of a second wave of the coronavirus have caused economic uncertainty and clouded demand outlook, while a recent build in US crude inventories has led to continued oversupply concerns.",2020-06-11 09:54:00-04:00,FET
51,Tyson Says It's 'Fully Cooperating' Amid Price Fixing Probe: WSJ,2020-06-11 09:49:00-04:00,TSN
52,"US indices are lower for the session following an increase in coronavirus cases in some US states that have reopened, leading to concerns of a second wave of the virus. Airline and travel stocks have experienced notable losses.",2020-06-11 09:47:00-04:00,IWM
53,"It's Not All COVID-19 And The Fed: Lululemon Reports After Close, And Airline Stocks Dive",2020-06-11 09:38:00-04:00,JNJ
54,"Benzinga's Top Upgrades, Downgrades For June 11, 2020",2020-06-11 09:38:00-04:00,GIS
55,U.S. Bancorp shares are trading lower after Morgan Stanley maintained an Underweight rating on the stock and lowered its price target from $43 to $41.,2020-06-11 09:30:00-04:00,USB
56,"Wells Fargo Reinstates Overweight on WESCO International, Announces $55 Price Target",2020-06-11 09:29:00-04:00,WCC
57,Wells Fargo & Co shares are trading lower after Morgan Stanley maintained an Equal-Weight rating on the stock and lowered its price target from $29 to $27.,2020-06-11 09:21:00-04:00,WFC
58,Visteon Corp CEO Says China Has Rebounded Well And Co. Is At Almost Pre-COVID Levels Of Production In China,2020-06-11 09:20:00-04:00,VC
59,Medtronic Secures CE Mark For MiniMed™ 780G Advanced Hybrid Closed Loop System Designed To Further Simplify Type 1 Diabetes Management,2020-06-11 09:02:00-04:00,MDT
60,"Morgan Stanley Maintains Overweight on Yum Brands, Raises Price Target to $100",2020-06-11 08:58:00-04:00,YUM
61,Sam's Club Earlier Announced It Has Launched Curbside Pickup Nationwide,2020-06-11 08:57:00-04:00,WMT
62,"Morgan Stanley Maintains Equal-Weight on Wells Fargo, Lowers Price Target to $27",2020-06-11 08:57:00-04:00,WFC
63,"Morgan Stanley Maintains Underweight on U.S. Bancorp, Lowers Price Target to $41",2020-06-11 08:55:00-04:00,USB
64,"Morgan Stanley Maintains Overweight on Ford Motor, Raises Price Target to $8",2020-06-11 08:46:00-04:00,F
65,"SunTrust Robinson Humphrey Maintains Buy on Prosperity Bancshares, Raises Price Target to $78",2020-06-11 08:36:00-04:00,PB
66,'Eros Now Select' Available Now Through Apple TV Channels in India,2020-06-11 08:35:00-04:00,EROS
67,Front Yard Residential Sends Letter To Shareholders,2020-06-11 08:32:00-04:00,RESI
68,"Wells Fargo Maintains Overweight on T-Mobile US, Raises Price Target to $120",2020-06-11 08:27:00-04:00,TMUS
69,"Wells Fargo Maintains Overweight on National Retail Props, Raises Price Target to $41",2020-06-11 08:24:00-04:00,NNN
70,"California Public Utilities Commission Says For Now, Transport Network Companies Drivers Are Presumed To Be Employees",2020-06-11 08:23:00-04:00,PCG
71,"B of A Securities Maintains Buy on PVH, Raises Price Target to $74",2020-06-11 08:19:00-04:00,PVH
72,"Credit Suisse Maintains Neutral on Yum Brands, Raises Price Target to $95",2020-06-11 08:13:00-04:00,YUM
73,"The Daily Biotech Pulse: Sorrento Submits EUA Application For Rapid Coronavirus Test, Decision Day For Viela, Lantern Pharma IPO",2020-06-11 08:12:00-04:00,KEM
74,"Credit Suisse Maintains Outperform on Hexcel, Raises Price Target to $52",2020-06-11 08:11:00-04:00,HXL
75,"Stifel Maintains Buy on Cedar Fair, Raises Price Target to $44",2020-06-11 08:11:00-04:00,FUN
76,"Simon Property Group shares are trading higher after Raymond James downgraded the stock from Outperform to Market Perform. UPDATE: Shares have since reversed, now lower.",2020-06-11 08:10:00-04:00,SPG
77,"HEICO Reports Its Flight Support Group Purchased 70% Of Rocky Mountain Hydrostatics In All-Cash Deal, No Terms Disclosed",2020-06-11 08:09:00-04:00,HEI
78,Pfizer Reports FDA Approval Of Co.'s NYVEPRIA,2020-06-11 08:04:00-04:00,PFE
79,Raymond James Upgrades Spirit Realty Cap to Market Perform,2020-06-11 08:04:00-04:00,SRC
80,Raymond James Downgrades Simon Property Group to Market Perform,2020-06-11 08:00:00-04:00,SPG
81,"MKM Partners Initiates Coverage On Occidental Petroleum with Neutral Rating, Announces Price Target of $20",2020-06-11 07:57:00-04:00,OXY
82,"Baird Initiates Coverage On Leidos Holdings with Outperform Rating, Announces Price Target of $140",2020-06-11 07:56:00-04:00,LDOS
83,"Benzinga Pro's Top 5 Stocks To Watch For Thurs., Jun. 11, 2020: TGT, LTRN, GNUS, LULU, EDU",2020-06-11 07:55:00-04:00,TGT
84,Goldman Sachs Employees Returning To Their Desks Beginning June 22,2020-06-11 07:55:00-04:00,MS
85,"B of A Securities Downgrades ONEOK to Neutral, Announces $42 Price Target",2020-06-11 07:52:00-04:00,OKE
86,"Raymond James Maintains Outperform on Starwood Property Trust, Raises Price Target to $20.5",2020-06-11 07:51:00-04:00,STWD
87,17 Consumer Cyclical Stocks Moving In Thursday's Pre-Market Session,2020-06-11 07:49:00-04:00,RCL
